,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,hiddenLayerNine,hiddenLayerTen,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
39,3,0.007,4,4,4,4,4,4,4,4,3,0.1,20,32,0.0,[0.81111115 0.87777781 0.76666671 0.76666671 0.83146065],[0.87577158 0.90183085 0.80252099 0.80815512 0.77272737],[0.72222221 0.83333337 0.7647059  0.77272731 0.59090912],[0.51999998 0.74074078 0.66666669 0.5151515  0.68421054],[0.60465116 0.78431373 0.71232877 0.61818182 0.63414634],0.7367795825004577,0.810736608505249,0.6253538966178894,0.8322011828422546,0.6707243630098829
62,3,0.004,5,5,5,5,5,5,5,5,3,0.1,20,16,0.0,[0.77777779 0.76666671 0.77777779 0.82222223 0.83146065],[0.86612654 0.83396465 0.77652305 0.87399733 0.89552236],[0.66666669 0.95833337 0.67647058 0.9545455  1.        ],[0.46153849 0.53488374 0.71875    0.58333331 0.5945946 ],[0.54545455 0.68656716 0.6969697  0.72413793 0.74576271],0.8512032270431519,0.7951810359954834,0.5786200284957885,0.8492267847061157,0.6797784099004474
55,3,0.007,5,5,5,5,5,5,5,5,3,0.1,20,32,0.0,[0.80000001 0.81111115 0.78888893 0.76666671 0.76404494],[0.5        0.86647725 0.81932777 0.84558821 0.81987792],[0.         0.79166669 0.7647059  1.         0.90909094],[0.         0.61290324 0.7027027  0.51162791 0.51282054],[0.         0.69090909 0.73239437 0.67692308 0.6557377 ],0.6930927038192749,0.7861423492431641,0.4680108785629272,0.7702542304992676,0.5511928477894767
54,3,0.007,5,5,5,5,5,5,5,5,3,0.1,20,16,0.0,[0.80000001 0.82222223 0.77777779 0.75555557 0.75280899],[0.81250006 0.8888889  0.77547264 0.5        0.5       ],[0.5        0.95833337 0.7352941  0.         0.        ],[0.5        0.60526317 0.69444448 0.         0.        ],[0.5        0.74193548 0.71428571 0.         0.        ],0.43872549533843996,0.7816729187965393,0.3599415302276611,0.6953723192214966,0.3912442396313364
31,2,0.004,5,5,5,5,5,5,5,5,2,0.1,20,32,0.0,[0.80000001 0.83333337 0.74444449 0.78888893 0.74157304],[0.5        0.82323229 0.77179629 0.85862297 0.81411129],[0.         0.66666669 0.79411763 0.68181819 0.81818187],[0.         0.69565219 0.62790698 0.55555558 0.48648649],[0.         0.68085106 0.7012987  0.6122449  0.61016949],0.5921568751335144,0.7816479682922364,0.4731202483177185,0.7535525679588317,0.5209128309226192
56,3,0.004,5,5,5,5,5,5,5,5,3,0.0,10,16,0.0,[0.86666667 0.83333337 0.62222224 0.84444445 0.74157304],[0.86882716 0.88636363 0.5        0.89037436 0.80359578],[0.72222221 1.         0.         1.         0.81818187],[0.65000004 0.61538464 0.         0.6111111  0.48648649],[0.68421053 0.76190476 0.         0.75862069 0.61016949],0.7080808162689209,0.7816479563713074,0.4725964546203613,0.7898321866989135,0.5629810938802295
9,2,0.004,4,4,4,4,4,4,4,4,2,0.0,10,32,0.0,[0.78888893 0.83333337 0.76666671 0.75555557 0.75280899],[0.77507716 0.91792929 0.82536769 0.5        0.5       ],[0.66666669 1.         0.82352942 0.         0.        ],[0.47999999 0.61538464 0.6511628  0.         0.        ],[0.55813953 0.76190476 0.72727273 0.         0.        ],0.4980392217636108,0.7794507145881653,0.3493094861507416,0.703674829006195,0.4094634048122421
48,3,0.007,5,5,5,5,5,5,5,5,3,0.0,10,16,0.0,[0.86666667 0.73333335 0.77777779 0.75555557 0.75280899],[0.89081788 0.5        0.84112394 0.5        0.5       ],[0.8888889  0.         0.79411763 0.         0.        ],[0.61538464 0.         0.67500001 0.         0.        ],[0.72727273 0.         0.72972973 0.         0.        ],0.33660130500793456,0.7772284746170044,0.25807693004608157,0.6463883638381958,0.2914004914004914
17,2,0.007,5,5,5,5,5,5,5,5,2,0.0,10,32,0.0,[0.84444445 0.73333335 0.80000001 0.75555557 0.75280899],[0.88425934 0.5        0.83981091 0.5        0.5       ],[0.94444448 0.         0.85294116 0.         0.        ],[0.56666672 0.         0.69047618 0.         0.        ],[0.70833333 0.         0.76315789 0.         0.        ],0.3594771265983582,0.7772284746170044,0.25142858028411863,0.6448140501976013,0.2942982456140351
25,2,0.004,5,5,5,5,5,5,5,5,2,0.0,10,32,0.0,[0.83333337 0.85555559 0.62222224 0.81111115 0.75280899],[0.82716048 0.93023992 0.5        0.81751341 0.5       ],[0.55555558 0.95833337 0.         0.86363637 0.        ],[0.58823532 0.65714288 0.         0.57575762 0.        ],[0.57142857 0.77966102 0.         0.69090909 0.        ],0.47550506591796876,0.7750062704086303,0.3642271637916565,0.7149827599525451,0.40839973585736294
