,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
65,3,0.007,6,4,3,0.0,10,32,0.0,[0.86666667 0.85555559 0.73333335 0.84444445 0.83146065],[0.85223758 0.90625    0.77074581 0.88903743 0.91383988],[0.77777779 1.         0.67647058 0.9545455  0.90909094],[0.63636363 0.64864868 0.6388889  0.61764705 0.60606062],[0.7        0.78688525 0.65714286 0.75       0.72727273],0.8635769605636596,0.8262921452522278,0.6295217752456665,0.8664221405982971,0.7242601660634447
58,4,0.007,4,3,4,0.1,20,16,0.0,[0.86666667 0.84444445 0.76666671 0.86666667 0.78651685],[0.82908952 0.87089652 0.81197476 0.93850267 0.83649945],[0.66666669 0.83333337 0.79411763 0.81818187 0.86363637],[0.66666669 0.66666669 0.65853661 0.69230771 0.54285717],[0.66666667 0.74074074 0.72       0.75       0.66666667],0.7951871871948242,0.8261922717094421,0.645406973361969,0.8573925852775574,0.7088148148148148
42,4,0.007,4,4,4,0.1,20,16,0.0,[0.90000004 0.78888893 0.77777779 0.85555559 0.78651685],[0.90547842 0.88446969 0.8075105  0.89772731 0.87822253],[0.77777779 0.91666669 0.82352942 0.86363637 1.        ],[0.7368421  0.56410259 0.66666669 0.65517241 0.53658539],[0.75675676 0.6984127  0.73684211 0.74509804 0.6984127 ],0.8763220548629761,0.8217478394508362,0.6318738341331482,0.8746816873550415,0.7271044596121995
9,4,0.007,6,4,4,0.1,10,32,0.0,[0.84444445 0.86666667 0.82222223 0.78888893 0.77528089],[0.93209881 0.92803031 0.88103986 0.8773396  0.85583448],[0.8888889  1.         0.85294116 0.86363637 0.86363637],[0.5714286  0.66666669 0.72500002 0.54285717 0.52777779],[0.69565217 0.8        0.78378378 0.66666667 0.65517241],0.8938205599784851,0.8195006370544433,0.6067460536956787,0.8948686122894287,0.7202550076313194
67,3,0.007,6,4,3,0.0,20,32,0.0,[0.85555559 0.84444445 0.81111115 0.82222223 0.76404494],[0.7283951  0.91982329 0.81538868 0.88903749 0.81343287],[0.44444445 0.875      0.7647059  0.86363637 0.90909094],[0.72727275 0.65625    0.74285716 0.59375    0.51282054],[0.55172414 0.75       0.75362319 0.7037037  0.6557377 ],0.7713755309581757,0.8194756746292114,0.6465900897979736,0.8332154870033264,0.6829577469917136
32,4,0.007,4,4,4,0.0,10,16,0.0,[0.86666667 0.8888889  0.77777779 0.81111115 0.75280899],[0.92554009 0.94949502 0.83613443 0.88703215 0.5       ],[0.66666669 0.91666669 0.70588237 0.72727275 0.        ],[0.66666669 0.73333335 0.70588237 0.5925926  0.        ],[0.66666667 0.81481481 0.70588235 0.65306122 0.        ],0.6032976984977723,0.8194507002830506,0.5396950006484985,0.8196403384208679,0.5680850117824907
27,4,0.007,6,3,4,0.1,20,32,0.0,[0.80000001 0.83333337 0.77777779 0.82222223 0.84269667],[0.81327158 0.90909088 0.78939074 0.90307492 0.89925373],[0.55555558 0.875      0.79411763 0.9545455  0.81818187],[0.5        0.63636363 0.67500001 0.58333331 0.64285719],[0.52631579 0.73684211 0.72972973 0.72413793 0.72      ],0.7994801163673401,0.8152060151100159,0.6075108289718628,0.8628163695335388,0.687405111100211
10,4,0.007,6,4,4,0.1,20,16,0.0,[0.83333337 0.85555559 0.78888893 0.80000001 0.7977528 ],[0.89120364 0.89709604 0.83665967 0.89906424 0.85719132],[0.6111111  0.95833337 0.85294116 0.86363637 0.90909094],[0.57894737 0.65714288 0.67441863 0.55882353 0.55555558],[0.59459459 0.77966102 0.75324675 0.67857143 0.68965517],0.8390225887298584,0.8151061415672303,0.6049775958061219,0.8762429833412171,0.6991457931551445
8,4,0.007,6,4,4,0.1,10,16,0.0,[0.82222223 0.82222223 0.76666671 0.82222223 0.83146065],[0.90470678 0.91161615 0.83140755 0.89772719 0.8982361 ],[0.6111111  0.91666669 0.79411763 0.9545455  1.        ],[0.55000001 0.6111111  0.65853661 0.58333331 0.5945946 ],[0.57894737 0.73333333 0.72       0.72413793 0.74576271],0.8552881836891174,0.812958812713623,0.5995151281356812,0.888738751411438,0.7004362689306551
114,3,0.007,4,3,3,0.0,20,16,0.0,[0.86666667 0.84444445 0.75555557 0.82222223 0.77528089],[0.87770057 0.88257581 0.78308821 0.82453215 0.90705568],[0.66666669 0.79166669 0.7647059  0.77272731 1.        ],[0.66666669 0.67857146 0.65000004 0.60714287 0.52380955],[0.66666667 0.73076923 0.7027027  0.68       0.6875    ],0.7991533160209656,0.8128339648246765,0.6252381205558777,0.8549904823303223,0.69352772002772
105,3,0.007,4,4,3,0.1,10,32,0.0,[0.83333337 0.86666667 0.78888893 0.82222223 0.75280899],[0.84375    0.94854796 0.82195377 0.74431819 0.5       ],[0.72222221 1.         0.91176468 0.54545456 0.        ],[0.56521738 0.66666669 0.65957451 0.66666669 0.        ],[0.63414634 0.8        0.7654321  0.6        0.        ],0.6358882904052734,0.8127840399742127,0.5116250514984131,0.7717139840126037,0.5599156880457694
26,4,0.007,6,3,4,0.1,20,16,0.0,[0.87777781 0.80000001 0.77777779 0.86666667 0.74157304],[0.84837961 0.86868691 0.82930666 0.9177807  0.82835817],[0.77777779 0.79166669 0.82352942 0.77272731 1.        ],[0.66666669 0.59375    0.66666669 0.70833337 0.48888889],[0.71794872 0.67857143 0.73684211 0.73913043 0.65671642],0.833140242099762,0.8127590656280518,0.6248611271381378,0.8585024118423462,0.7058418208952723
56,4,0.007,4,3,4,0.1,10,16,0.0,[0.82222223 0.83333337 0.78888893 0.80000001 0.80898875],[0.90354943 0.8598485  0.84007347 0.87165779 0.86974216],[0.77777779 0.875      0.85294116 1.         0.9545455 ],[0.53846157 0.63636363 0.67441863 0.55000001 0.56756759],[0.63636364 0.73684211 0.75324675 0.70967742 0.71186441],0.8920528888702393,0.8106866598129272,0.593362283706665,0.8689742684364319,0.7095988642016093
51,4,0.007,4,3,4,0.0,20,32,0.0,[0.84444445 0.87777781 0.74444449 0.80000001 0.78651685],[0.83757716 0.9286617  0.81066179 0.82185823 0.91417909],[0.6111111  0.95833337 0.7352941  0.86363637 1.        ],[0.6111111  0.69696975 0.64102566 0.55882353 0.53658539],[0.61111111 0.80701754 0.68493151 0.67857143 0.6984127 ],0.8336749911308289,0.8106367230415344,0.6089030861854553,0.8625875949859619,0.6960088577608406
43,4,0.007,4,4,4,0.1,20,32,0.0,[0.85555559 0.84444445 0.76666671 0.81111115 0.77528089],[0.86998451 0.88352275 0.8324579  0.90374333 0.86974216],[0.8888889  0.91666669 0.79411763 0.86363637 0.90909094],[0.5925926  0.64705884 0.65853661 0.57575762 0.52631581],[0.71111111 0.75862069 0.72       0.69090909 0.66666667],0.8744801044464111,0.8106117606163025,0.6000522971153259,0.871890127658844,0.7094615116684082
