,hiddenLayerOne,learnRate,hiddenLayerTwo,dropout,epochs,regul,batch,accuracy,AUC,recall,precision,F1,meanAcc,meanRec,meanAUC,meanPrec,meanF1
0,6,0.007,6,0.0,10,0.0,32,[0.85555559 0.86666667 0.75555557 0.78888893 0.74157304],[0.9278549  0.9094066  0.80357134 0.8880347  0.87177753],[0.66666669 0.91666669 0.70588237 0.90909094 0.81818187],[0.63157892 0.6875     0.66666669 0.54054058 0.48648649],[0.64864865 0.78571429 0.68571429 0.6779661  0.61016949],0.801647961139679,0.8032977104187011,0.8801290154457092,0.6025545358657837,0.6816425626595117
1,6,0.007,6,0.0,20,0.0,32,[0.87777781 0.84444445 0.76666671 0.78888893 0.83146065],[0.93518519 0.88320714 0.80409658 0.85728616 0.86499321],[0.77777779 0.875      0.79411763 0.68181819 0.72727275],[0.66666669 0.65625    0.65853661 0.55555558 0.63999999],[0.71794872 0.75       0.72       0.6122449  0.68085106],0.8218477129936218,0.7711972713470459,0.8689536571502685,0.6354017734527588,0.6962089359475377
2,6,0.007,6,0.0,10,0.0,64,[0.83333337 0.83333337 0.75555557 0.77777779 0.80898875],[0.9236111  0.90972221 0.83771002 0.87867647 0.90671641],[0.83333331 0.875      0.7352941  0.86363637 0.9545455 ],[0.55555558 0.63636363 0.65789473 0.52777779 0.56756759],[0.66666667 0.73684211 0.69444444 0.65517241 0.71186441],0.8017977714538574,0.8523618578910828,0.8912872433662414,0.5890318632125855,0.6929980073894066
3,6,0.007,6,0.0,20,0.0,64,[0.86666667 0.83333337 0.73333335 0.82222223 0.7977528 ],[0.91165119 0.92171717 0.82615548 0.90040112 0.89721847],[0.72222221 0.83333337 0.67647058 0.90909094 0.90909094],[0.65000004 0.64516127 0.6388889  0.58823532 0.55555558],[0.68421053 0.72727273 0.65714286 0.71428571 0.68965517],0.8106616854667663,0.810041606426239,0.8914286851882934,0.615568220615387,0.6945133994861763
4,6,0.007,6,0.0,10,0.05,32,[0.83333337 0.86666667 0.77777779 0.74444449 0.71910113],[0.90277773 0.93497479 0.82694328 0.82219255 0.8341248 ],[0.72222221 0.91666669 0.70588237 0.9545455  0.90909094],[0.56521738 0.6875     0.70588237 0.48837209 0.46511626],[0.63414634 0.78571429 0.70588235 0.64615385 0.61538462],0.7882646918296814,0.8416815400123596,0.8642026305198669,0.582417619228363,0.6774562883314676
5,6,0.007,6,0.0,20,0.05,32,[0.85555559 0.82222223 0.73333335 0.81111115 0.76404494],[0.90663582 0.89551771 0.80173326 0.90775406 0.83480334],[0.72222221 0.875      0.70588237 0.9545455  0.81818187],[0.61904764 0.61764705 0.63157892 0.56756759 0.51428574],[0.66666667 0.72413793 0.66666667 0.71186441 0.63157895],0.7972534537315369,0.8151663899421692,0.8692888379096985,0.5900253891944885,0.6801829237031796
6,6,0.007,6,0.0,10,0.05,64,[0.85555559 0.82222223 0.75555557 0.82222223 0.76404494],[0.87577164 0.91351008 0.82668066 0.91109622 0.82801902],[0.72222221 1.         0.7647059  0.77272731 0.90909094],[0.61904764 0.60000002 0.65000004 0.60714287 0.51282054],[0.66666667 0.75       0.7027027  0.68       0.6557377 ],0.8039201140403748,0.8337492704391479,0.8710155248641968,0.5978022217750549,0.6910214148574804
7,6,0.007,6,0.0,20,0.05,64,[0.76666671 0.80000001 0.76666671 0.82222223 0.83146065],[0.82870376 0.86616164 0.83298314 0.89806151 0.89755768],[0.55555558 0.66666669 0.70588237 0.90909094 0.86363637],[0.43478262 0.61538464 0.6857143  0.58823532 0.61290324],[0.48780488 0.64       0.69565217 0.71428571 0.71698113],0.7974032640457154,0.7401663899421692,0.864693546295166,0.5874040246009826,0.650944779664602
8,6,0.007,6,0.05,10,0.0,32,[0.82222223 0.85555559 0.75555557 0.81111115 0.78651685],[0.91705251 0.92897725 0.84768903 0.89405084 0.90128905],[0.66666669 0.95833337 0.79411763 0.90909094 0.90909094],[0.54545456 0.65714288 0.64285713 0.5714286  0.54054058],[0.6        0.77966102 0.71052632 0.70175439 0.6779661 ],0.8061922788619995,0.8474599123001099,0.8978117346763611,0.5914847493171692,0.6939815640796907
9,6,0.007,6,0.05,20,0.0,32,[0.86666667 0.86666667 0.80000001 0.80000001 0.76404494],[0.9212963  0.90151513 0.85425419 0.88636363 0.94538677],[0.66666669 0.83333337 0.7352941  0.81818187 0.9545455 ],[0.66666669 0.71428573 0.7352941  0.5625     0.51219517],[0.66666667 0.76923077 0.73529412 0.66666667 0.66666667],0.8194756627082824,0.8016043066978454,0.9017632007598877,0.6381883382797241,0.7009049773755656
